Datetime,Open,High,Low,Close,Volume
2024-08-21 08:00:00,1.11185,1.11205,1.11157,1.11177,1543
2024-08-21 09:00:00,1.11175,1.11193,1.11125,1.11176,2948
2024-08-21 10:00:00,1.11175,1.11283,1.11098,1.11139,4214
2024-08-21 11:00:00,1.1114,1.11219,1.11104,1.11178,3172
2024-08-21 12:00:00,1.11179,1.11249,1.11129,1.11165,2665
2024-08-21 13:00:00,1.11166,1.11255,1.11151,1.11242,2370
2024-08-21 14:00:00,1.1124,1.1124,1.11095,1.11146,2699
2024-08-21 15:00:00,1.11147,1.11295,1.1113,1.11246,3797
2024-08-21 16:00:00,1.1125,1.11273,1.11109,1.11132,5036
2024-08-21 17:00:00,1.11131,1.11293,1.10988,1.11242,13779
2024-08-21 18:00:00,1.11243,1.11474,1.11243,1.11416,6385
2024-08-21 19:00:00,1.11417,1.11477,1.11411,1.11459,3716
2024-08-21 20:00:00,1.11458,1.11579,1.11451,1.11554,2957
2024-08-21 21:00:00,1.11555,1.11735,1.11546,1.11612,4675
2024-08-21 22:00:00,1.11608,1.11608,1.1151,1.11515,1995
2024-08-21 23:00:00,1.11514,1.11519,1.11466,1.11489,978
2024-08-22 00:00:00,1.11453,1.11516,1.11453,1.11474,1573
2024-08-22 01:00:00,1.11473,1.11557,1.1147,1.11557,705
2024-08-22 02:00:00,1.11558,1.11576,1.11525,1.11545,751
2024-08-22 03:00:00,1.11546,1.11563,1.11449,1.11471,1905
2024-08-22 04:00:00,1.11472,1.11487,1.11421,1.11427,1688
2024-08-22 05:00:00,1.11426,1.11441,1.114,1.11426,1235
2024-08-22 06:00:00,1.11429,1.1145,1.11421,1.11442,1018
2024-08-22 07:00:00,1.11441,1.11452,1.11403,1.11428,1069
2024-08-22 08:00:00,1.11427,1.11439,1.11397,1.11424,1109
2024-08-22 09:00:00,1.11423,1.11492,1.11404,1.1149,2574
2024-08-22 10:00:00,1.11491,1.11642,1.11269,1.11364,5824
2024-08-22 11:00:00,1.1137,1.11505,1.1137,1.11422,4139
2024-08-22 12:00:00,1.11421,1.11423,1.11327,1.11392,3229
2024-08-22 13:00:00,1.11393,1.11456,1.1132,1.11445,2647
2024-08-22 14:00:00,1.11444,1.11448,1.11316,1.11364,2814
2024-08-22 15:00:00,1.11365,1.11426,1.11248,1.11399,5006
2024-08-22 16:00:00,1.11401,1.1141,1.11117,1.1119,6234
2024-08-22 17:00:00,1.11191,1.11191,1.10977,1.11139,6526
2024-08-22 18:00:00,1.11138,1.11145,1.11045,1.11126,4203
2024-08-22 19:00:00,1.11125,1.11171,1.11072,1.11099,2970
2024-08-22 20:00:00,1.111,1.11103,1.10983,1.11022,2878
2024-08-22 21:00:00,1.11023,1.11106,1.11022,1.11097,2318
2024-08-22 22:00:00,1.11096,1.11128,1.11042,1.11077,2155
2024-08-22 23:00:00,1.11076,1.11128,1.1107,1.11114,841
2024-08-23 00:00:00,1.11053,1.11113,1.11045,1.11109,792
2024-08-23 01:00:00,1.11108,1.11158,1.11102,1.11131,714
2024-08-23 02:00:00,1.11132,1.11174,1.11132,1.11155,779
2024-08-23 03:00:00,1.11154,1.11219,1.11124,1.11193,2315
2024-08-23 04:00:00,1.11191,1.11278,1.11176,1.11271,2126
2024-08-23 05:00:00,1.11272,1.11282,1.11224,1.11247,1503
2024-08-23 06:00:00,1.11248,1.11269,1.11226,1.11243,964
2024-08-23 07:00:00,1.11244,1.1128,1.11241,1.11272,954
2024-08-23 08:00:00,1.11273,1.11284,1.11242,1.11249,1279
2024-08-23 09:00:00,1.1125,1.113,1.11197,1.11279,2396
2024-08-23 10:00:00,1.11278,1.11314,1.11119,1.11189,3375
2024-08-23 11:00:00,1.11188,1.11234,1.11167,1.11224,3235
2024-08-23 12:00:00,1.11223,1.11267,1.11162,1.11167,2633
2024-08-23 13:00:00,1.11166,1.11228,1.11148,1.11188,2192
2024-08-23 14:00:00,1.11187,1.11205,1.11104,1.11185,2566
2024-08-23 15:00:00,1.11184,1.11224,1.11107,1.11136,3453
2024-08-23 16:00:00,1.11135,1.11143,1.1105,1.1114,3982
2024-08-23 17:00:00,1.11138,1.11842,1.11135,1.11742,14697
2024-08-23 18:00:00,1.11743,1.11957,1.11731,1.11749,6941
2024-08-23 19:00:00,1.11748,1.11784,1.11638,1.11734,4984
2024-08-23 20:00:00,1.11733,1.11972,1.11725,1.11921,3844
2024-08-23 21:00:00,1.1192,1.12004,1.11851,1.11869,3297
2024-08-23 22:00:00,1.11868,1.11951,1.11851,1.11908,2238
2024-08-23 23:00:00,1.11907,1.11938,1.11871,1.11881,1415
2024-08-26 00:00:00,1.11869,1.11943,1.11869,1.11897,652
2024-08-26 01:00:00,1.119,1.11932,1.11863,1.11909,1465
2024-08-26 02:00:00,1.11908,1.1192,1.11859,1.11892,1984
2024-08-26 03:00:00,1.11893,1.12011,1.11864,1.11931,3134
2024-08-26 04:00:00,1.1193,1.11998,1.11868,1.1189,2658
2024-08-26 05:00:00,1.11891,1.11943,1.11853,1.11863,1862
2024-08-26 06:00:00,1.11862,1.11883,1.11812,1.11829,1432
2024-08-26 07:00:00,1.1183,1.11857,1.11817,1.11829,1250
2024-08-26 08:00:00,1.11828,1.11847,1.11771,1.11787,1410
2024-08-26 09:00:00,1.11788,1.11888,1.11787,1.11796,3019
2024-08-26 10:00:00,1.11795,1.11841,1.11753,1.11803,3838
2024-08-26 11:00:00,1.11803,1.11843,1.11758,1.11799,3203
2024-08-26 12:00:00,1.11798,1.11822,1.1171,1.11739,2992
2024-08-26 13:00:00,1.1174,1.11765,1.11686,1.11711,2598
2024-08-26 14:00:00,1.1171,1.1173,1.11625,1.11644,3229
2024-08-26 15:00:00,1.11645,1.11681,1.11581,1.11608,5101
2024-08-26 16:00:00,1.11607,1.11621,1.11495,1.11579,5958
2024-08-26 17:00:00,1.11578,1.11784,1.11534,1.11757,5895
2024-08-26 18:00:00,1.11756,1.11764,1.11629,1.11631,4047
2024-08-26 19:00:00,1.1163,1.11716,1.11591,1.11708,3023
2024-08-26 20:00:00,1.11707,1.1175,1.11672,1.11691,2741
2024-08-26 21:00:00,1.11692,1.11707,1.1159,1.11631,2869
2024-08-26 22:00:00,1.1163,1.11651,1.11581,1.11591,1914
2024-08-26 23:00:00,1.1159,1.1161,1.11581,1.11605,811
2024-08-27 00:00:00,1.11605,1.11622,1.11573,1.11603,862
2024-08-27 01:00:00,1.11606,1.11634,1.11598,1.11625,937
2024-08-27 02:00:00,1.11624,1.11665,1.11624,1.11641,816
2024-08-27 03:00:00,1.11642,1.11652,1.11591,1.11604,1652
2024-08-27 04:00:00,1.11605,1.11702,1.11591,1.11687,1882
2024-08-27 05:00:00,1.11688,1.11699,1.11636,1.11676,1101
2024-08-27 06:00:00,1.11675,1.11685,1.11646,1.11663,943
2024-08-27 07:00:00,1.11662,1.1169,1.11662,1.11679,1082
2024-08-27 08:00:00,1.1168,1.11719,1.11642,1.11663,1223
2024-08-27 09:00:00,1.11661,1.1171,1.11608,1.11611,2662
2024-08-27 10:00:00,1.1162,1.11721,1.11618,1.11634,4514
2024-08-27 11:00:00,1.11633,1.11735,1.11616,1.11659,3126
