date,country,event,impact,actual,forecast,previous
2024/08/23 00:00:00,JPY,BOJ Gov Ueda Speaks,Low Volatility Expected,,,
2024/08/23 01:00:00,SGD,Core CPI (YoY) (Jul),Moderate Volatility Expected,2.50%,2.90%,2.90%
2024/08/23 01:00:00,SGD,CPI (MoM) (Jul),Low Volatility Expected,-0.30%,,-0.20%
2024/08/23 01:00:00,SGD,CPI (YoY) (Jul),Moderate Volatility Expected,2.4%,2.5%,2.4%
2024/08/23 02:45:00,EUR,French Business Survey (Aug),Low Volatility Expected,99,96,95
2024/08/23 07:30:00,USD,Building Permits (Jul),Moderate Volatility Expected,1.406M,1.396M,1.454M
2024/08/23 07:30:00,USD,Building Permits (MoM) (Jul),Low Volatility Expected,-3.3%,,3.9%
2024/08/23 07:30:00,INR,Bank Loan Growth,Low Volatility Expected,13.6%,,13.7%
2024/08/23 07:30:00,INR,Deposit Growth,Low Volatility Expected,10.9%,,10.6%
2024/08/23 07:30:00,INR,"FX Reserves, USD",Low Volatility Expected,674.66B,,670.12B
2024/08/23 08:00:00,USD,FOMC Member Bostic Speaks,Moderate Volatility Expected,,,
2024/08/23 08:00:00,USD,Jackson Hole Symposium,Moderate Volatility Expected,,,
2024/08/23 08:30:00,CAD,Core Retail Sales (MoM) (Jun),Moderate Volatility Expected,0.3%,-0.2%,-1.2%
2024/08/23 08:30:00,CAD,Corporate Profits (QoQ),Low Volatility Expected,1.5%,,1.0%
2024/08/23 08:30:00,CAD,Manufacturing Sales (MoM) (Jul),Low Volatility Expected,1.1%,,-2.1%
2024/08/23 08:30:00,CAD,Retail Sales (MoM) (Jun),Moderate Volatility Expected,-0.3%,-0.3%,-0.8%
2024/08/23 10:00:00,USD,Fed Chair Powell Speaks,High Volatility Expected,,,
2024/08/23 10:00:00,USD,New Home Sales (Jul),High Volatility Expected,739K,624K,668K
2024/08/23 10:00:00,USD,New Home Sales (MoM) (Jul),Moderate Volatility Expected,10.6%,1.0%,0.3%
2024/08/23 11:00:00,GBP,BoE Gov Bailey Speaks,Moderate Volatility Expected,,,
2024/08/23 12:30:00,USD,Fed Goolsbee Speaks,Low Volatility Expected,,,
2024/08/23 13:00:00,USD,U.S. Baker Hughes Oil Rig Count,Moderate Volatility Expected,483,,483
2024/08/23 13:00:00,USD,U.S. Baker Hughes Total Rig Count,Moderate Volatility Expected,585,,586
2024/08/23 13:45:00,USD,Fed Goolsbee Speaks,Low Volatility Expected,,,
2024/08/23 14:15:00,USD,Fed Goolsbee Speaks,Low Volatility Expected,,,
2024/08/23 15:00:00,GBP,BoE Gov Bailey Speaks,Moderate Volatility Expected,,,
2024/08/23 15:30:00,GBP,CFTC GBP speculative net positions,Moderate Volatility Expected,67.5K,,47.8K
2024/08/23 15:30:00,USD,CFTC Aluminium speculative net positions,Low Volatility Expected,2.3K,,2.2K
2024/08/23 15:30:00,USD,CFTC Copper speculative net positions,Low Volatility Expected,20.3K,,15.8K
2024/08/23 15:30:00,USD,CFTC Corn speculative net positions,Low Volatility Expected,-165.3K,,-154.0K
2024/08/23 15:30:00,USD,CFTC Crude Oil speculative net positions,Moderate Volatility Expected,222.3K,,231.5K
2024/08/23 15:30:00,USD,CFTC Gold speculative net positions,Moderate Volatility Expected,291.3K,,267.3K
2024/08/23 15:30:00,USD,CFTC Nasdaq 100 speculative net positions,Moderate Volatility Expected,11.4K,,8.5K
2024/08/23 15:30:00,USD,CFTC Natural Gas speculative net positions,Low Volatility Expected,-81.3K,,-80.8K
2024/08/23 15:30:00,USD,CFTC S&P 500 speculative net positions,Moderate Volatility Expected,-84.8K,,-23.5K
2024/08/23 15:30:00,USD,CFTC Silver speculative net positions,Low Volatility Expected,49.3K,,45.3K
2024/08/23 15:30:00,USD,CFTC Soybeans speculative net positions,Low Volatility Expected,-178.9K,,-165.7K
2024/08/23 15:30:00,USD,CFTC Wheat speculative net positions,Low Volatility Expected,-25.7K,,-38.9K
2024/08/23 15:30:00,CAD,CFTC CAD speculative net positions,Low Volatility Expected,-164.4K,,-179.6K
2024/08/23 15:30:00,CHF,CFTC CHF speculative net positions,Low Volatility Expected,-25.7K,,-21.7K
2024/08/23 15:30:00,AUD,CFTC AUD speculative net positions,Moderate Volatility Expected,-38.9K,,-42.6K
2024/08/23 15:30:00,BRL,CFTC BRL speculative net positions,Moderate Volatility Expected,-51.0K,,-53.8K
2024/08/23 15:30:00,JPY,CFTC JPY speculative net positions,Moderate Volatility Expected,23.6K,,23.1K
2024/08/23 15:30:00,NZD,CFTC NZD speculative net positions,Low Volatility Expected,-13.8K,,-15.6K
2024/08/23 15:30:00,EUR,CFTC EUR speculative net positions,Moderate Volatility Expected,56.0K,,27.0K
2024/08/23 16:30:00,RUB,CFTC RUB speculative positions,Moderate Volatility Expected,,,-21.3K
2024/08/24 08:00:00,USD,Jackson Hole Symposium,Moderate Volatility Expected,,,
2024/08/24 12:25:00,EUR,ECB's Lane Speaks,Moderate Volatility Expected,,,
2024/08/26 01:00:00,SGD,Industrial Production (YoY) (Jul),Low Volatility Expected,1.8%,-1.1%,-4.3%
2024/08/26 01:00:00,SGD,Industrial Production (MoM) (Jul),Low Volatility Expected,10.1%,5.3%,-4.3%
2024/08/26 02:30:00,CHF,Employment Level (Q2),Moderate Volatility Expected,5.499M,,5.481M
2024/08/26 03:00:00,EUR,Spanish PPI (YoY) (Jul),Low Volatility Expected,-1.4%,,-3.2%
2024/08/26 04:00:00,EUR,German Business Expectations (Aug),Moderate Volatility Expected,86.8,86.5,87.0
2024/08/26 04:00:00,EUR,German Current Assessment (Aug),Moderate Volatility Expected,86.5,86.5,87.1
2024/08/26 04:00:00,EUR,German Ifo Business Climate Index (Aug),Moderate Volatility Expected,86.6,86.0,87.0
2024/08/26 07:00:00,BRL,FGV Consumer confidence (Aug),Low Volatility Expected,93.2,,92.9
2024/08/26 07:25:00,BRL,BCB Focus Market Readout,Low Volatility Expected,,,
2024/08/26 07:30:00,BRL,Current Account (USD) (Jul),Low Volatility Expected,-5.20B,-4.00B,-4.40B
2024/08/26 07:30:00,BRL,Foreign direct investment (USD) (Jul),Low Volatility Expected,7.30B,6.00B,6.30B
2024/08/26 08:30:00,USD,Core Durable Goods Orders (MoM) (Jul),Moderate Volatility Expected,-0.2%,0.0%,0.1%
2024/08/26 08:30:00,USD,Durable Goods Orders (MoM) (Jul),High Volatility Expected,9.9%,4.0%,-6.9%
2024/08/26 08:30:00,USD,Durables Excluding Defense (MoM) (Jul),Low Volatility Expected,10.4%,,-7.5%
2024/08/26 08:30:00,USD,Goods Orders Non Defense Ex Air (MoM) (Jul),Low Volatility Expected,-0.1%,0.0%,0.5%
2024/08/26 09:00:00,EUR,French 12-Month BTF Auction,Low Volatility Expected,2.999%,,3.029%
2024/08/26 09:00:00,EUR,French 3-Month BTF Auction,Low Volatility Expected,3.372%,,3.502%
2024/08/26 09:00:00,EUR,French 6-Month BTF Auction,Low Volatility Expected,3.285%,,3.358%
2024/08/26 10:30:00,USD,Atlanta Fed GDPNow (Q3),Moderate Volatility Expected,2.0%,2.0%,2.0%
2024/08/26 10:30:00,USD,Dallas Fed Mfg Business Index (Aug),Low Volatility Expected,-9.7,,-17.5
2024/08/26 11:30:00,USD,3-Month Bill Auction,Low Volatility Expected,4.980%,,5.055%
2024/08/26 11:30:00,USD,6-Month Bill Auction,Low Volatility Expected,4.685%,,4.770%
2024/08/26 19:01:00,GBP,BRC Shop Price Index (YoY),Low Volatility Expected,-0.3%,,0.2%
2024/08/26 19:50:00,JPY,Corporate Services Price Index (CSPI) (YoY),Low Volatility Expected,2.8%,2.9%,3.1%
2024/08/26 21:30:00,CNY,Chinese Industrial profit YTD (Jul),Low Volatility Expected,3.6%,,3.5%
2024/08/27 01:00:00,JPY,BoJ Core CPI (YoY),Moderate Volatility Expected,1.8%,2.1%,2.1%
2024/08/27 02:00:00,EUR,German GDP (YoY) (Q2),Moderate Volatility Expected,0.0%,-0.1%,-0.2%
2024/08/27 02:00:00,EUR,German GDP (QoQ) (Q2),High Volatility Expected,-0.1%,-0.1%,0.2%
2024/08/27 02:00:00,EUR,GfK German Consumer Climate (Sep),Moderate Volatility Expected,-22.0,-18.3,-18.6
2024/08/27 04:30:00,HKD,Exports (MoM) (Jul),Low Volatility Expected,13.1%,,10.7%
2024/08/27 04:30:00,HKD,Imports (MoM) (Jul),Low Volatility Expected,9.9%,,9.0%
2024/08/27 04:30:00,HKD,Trade Balance (Jul),Low Volatility Expected,-21.8B,,-55.7B
2024/08/27 05:40:00,EUR,Italian 2-Year CTZ Auction,Low Volatility Expected,2.890%,,3.100%
